ORKI CONNECT PROJECT TRACKING,,,,,,,,,
,,,,,,,Author,,
PROJECT TITLE,Orki Connect — SDK & Backend Tracking,,,,COMPANY NAME,Future City,,
PROJECT MANAGER,Darshan Thakker,,,,DATE,2026-03-20,,
,,,,,,,,,
PROJECT DETAILS,,,,,,DELIVERABLES,,,
STATUS,PRIORITY,START DATE,END DATE,DURATION,TASK NAME,ASSIGNEE,DESCRIPTION,DELIVERABLE,% DONE
,,,,,,,,,
BACKEND SERVICE,,,,,,,,,
Week 1: Infrastructure & Core Setup,,,,,,,,,
Complete,Complete,3/20/26,3/20/26,1,Project Setup & Initialization,Backend Team,"TypeScript project init, folder structure, tsconfig.json (ES2022/NodeNext strict mode), ESLint, package.json scripts (dev/build/start/prisma:migrate)",Backend project scaffold with TS strict config,100%
Complete,Complete,3/21/26,3/21/26,1,Express & Security Middleware,Backend Team,"Express server on port 3000; Helmet security headers; rate limiter 100 req/15min; 10kb JSON body limit; centralised error handler with Winston logging; health GET /health",Hardened Express app with security defaults,100%
Complete,Complete,3/22/26,3/23/26,2,Database Schema & Prisma Setup,Backend Team,"Prisma schema: 5 models (Organization, Session, DepositAddress, WebhookLog, ConfirmedDeposit); enums: Chain, ComplianceMode, ConnectionType, SessionStatus, WebhookEvent (13 events); indexes on org/user/network/idempotency_key; AutoMigrate",PostgreSQL schema with full models and migrations,100%
Complete,Complete,3/24/26,3/24/26,1,JWT Auth & Middleware,Backend Team,"RS256 key pair via JWT_PRIVATE_KEY/JWT_PUBLIC_KEY env vars; authMiddleware: Bearer extraction → RS256 verify → attach org_id+client_id to req; sessionAuthMiddleware for SDK session JWT; bcrypt 10-round secret hashing",Auth middleware with RS256 token validation,100%
Complete,Complete,3/25/26,3/25/26,1,OAuth Token Service,Backend Team,"POST /oauth/token: client_credentials grant only; getOrgByCredentials() bcrypt.compare(); issueAccessToken() RS256 JWT 1h expiry with sub/org_id/scope/jti/iss/aud; verifyAccessToken() for downstream middleware",OAuth 2.0 token issuance and verification endpoint,100%
Complete,Complete,3/26/26,3/27/26,2,Org Config Service,Backend Team,"POST /v1/org — create org with bcrypt hashing; GET /v1/org/config — merge org overrides with defaults; PATCH /v1/org/config — validate enum+range fields; defaults: USDC, ETHEREUM, WALLET, LITE mode, $10/$50k/$100k limits, 30min timeout",Organization onboarding and config management routes,100%
,,,,,,,,,
Week 2: Core Session & Deposit Services,,,,,,,,,
Complete,High,3/28/26,3/29/26,2,Session Service — Core & State Machine,Backend Team,"POST /v1/connect/sessions + public variant; createSession(): issues 18min session JWT + 24h refresh token; CREATED→ACTIVE→COMPLETED/FAILED/EXPIRED/EXTENDED_MONITORING transitions with valid-move guard; GET /v1/connect/sessions/:id with org isolation",Session lifecycle with state machine and dual JWT tokens,100%
Complete,High,3/30/26,3/30/26,1,Session Service — Expiry & Refresh,Backend Team,"expireSession(): 15min setTimeout; if tx_hash present → EXTENDED_MONITORING else EXPIRED + deposits.abandoned webhook + deregister address; POST /v1/connect/sessions/refresh: validate refresh token → extend by 15min → re-register address if previously deregistered; 14:59 safety: tx_hash saved before blockchain poll begins",Session timeout with EXTENDED_MONITORING safety and refresh endpoint,100%
Complete,High,3/31/26,3/31/26,1,Deposit Address Registry,Backend Team,"validateAddress(): EVM via ethers.isAddress(); Solana via /^[1-9A-HJ-NP-Za-km-z]{32,44}$/ base58 regex; registerAddress(): upsert in DepositAddress table; deregisterAddress(): delete with P2025 not-found guard; getAddressBySession(): simple lookup",Address registry with EVM and Solana validation,100%
Complete,High,4/1/26,4/2/26,2,Wallet Signature Verifier,Backend Team,"verifyEVMSignature(): ethers.verifyMessage() against 'Sign to connect'; verifyEIP712Signature(): typed-data for Ledger; verifySolanaSignature(): tweetnacl.sign.detached.verify(); verifyWalletOwnership(): verify → ACTIVE → CONNECTION_APPROVED webhook → Elliptic screen → if HIGH RISK → FAILED + CONNECTION_FLAGGED; POST /v1/connect/sessions/:id/transactions: save tx_hash → startMonitoring() fire-and-forget",Wallet signature verification for EVM and Solana,100%
Complete,Medium,4/3/26,4/3/26,1,Limit Enforcement Service,Backend Team,"enforceTransferLimits(): 4 checks — amount ≥ min_per_tx, amount ≤ max_per_tx, (daily_total + amount) ≤ daily_user_limit, (amount − exchange_fee) ≥ min_per_tx; getDailyUsage(); recordConfirmedDeposit(); in-memory Map per org+user+date (Redis TODO for production)",Compliance limit enforcement on all deposit flows,100%
,,,,,,,,,
Week 3: Webhooks & Blockchain Monitoring,,,,,,,,,
Complete,High,4/4/26,4/5/26,2,Webhook Dispatcher — Service,Backend Team,"dispatchWebhookEvent() fire-and-forget; signWebhookPayload(): RS256 JWT 5min expiry; exponential backoff: 1s × 2^(attempt−1) capped at 5min, 72h retry window, dead-letter after max retries; idempotency: upsert idempotency_key in WebhookLog; headers: X-Orki-Signature, X-Orki-Event, X-Idempotency-Key; full 9-event payload schema",RS256-signed event bus with idempotency and 72h retry,100%
Complete,High,4/6/26,4/6/26,1,Webhook Dispatcher — Routes & JWKS,Backend Team,"GET /v1/webhooks/.well-known/jwks.json — public JWKS endpoint from JWKS_PUBLIC_KEY_N env var; GET /v1/webhooks/delivery-log (authMiddleware) — paginated delivery history with status/event/http_status/response_time_ms/error fields",JWKS endpoint and delivery log API,100%
Complete,Critical,4/7/26,4/8/26,2,Blockchain Monitor — EVM,Backend Team,"startEVMMonitoring(): Alchemy WebSocket (ALCHEMY_WS_URL_ETHEREUM/POLYGON); subscribe to USDC Transfer(to=deposit_address) events; ERC-20 ABI filter; on detection → DEPOSITS_DETECTED webhook; monitorConfirmations() polls every 15s; reorg detection → DEPOSITS_FAILED; thresholds: 12 blocks Ethereum, 128 blocks Polygon → DEPOSITS_CONFIRMED + session COMPLETED + recordConfirmedDeposit(); USDC contracts hardcoded (ETH: 0xA0b8..., POLY: 0x2791...)",EVM on-chain USDC deposit detection and block confirmation,100%
Complete,Critical,4/9/26,4/10/26,2,Blockchain Monitor — Solana,Backend Team,"startSolanaMonitoring(): Connection.onAccountChange() RPC subscription; on account state change → DEPOSITS_DETECTED webhook; check slot finality every 2s; finalized commitment (32 slots) → DEPOSITS_CONFIRMED + session COMPLETED; stopMonitoring(): unsubscribe listener; note: tracks SOL account changes (full SPL token filtering TODO)",Solana on-chain deposit detection with finalized commitment,100%
,,,,,,,,,
Week 4: Exchange Integration & Token Vault,,,,,,,,,
Complete,High,4/11/26,4/11/26,1,Elliptic Risk Service,Backend Team,"screenWalletAddress(): POST to aml.elliptic.co/v2/wallet/synchronous; parseEllipticResponse() maps exposures → HIGH_RISK_CATEGORIES (sanctions, darknet_market, stolen_funds, mixer, ransomware, scam, terrorist_financing); mockRiskScreen() dev mode: ACCEPTABLE unless address ends 'FLAGGED'; activates when ELLIPTIC_MOCK=true or API key missing; 10s timeout; note: error path returns UNKNOWN (fails open — production risk)",AML and sanctions screening with Elliptic API + mock mode,100%
Complete,High,4/12/26,4/13/26,2,Exchange OAuth Manager,Backend Team,"GET /v1/connect/oauth/authorize?exchange=X&session_id=Y → redirect to exchange; GET /v1/connect/oauth/callback: exchangeCode() → storeToken() → getDepositAddress() → Elliptic screen → if VALIDATE mode: matchIdentity() Jaro-Winkler ≥0.92 → approve or IDENTITY_MISMATCH webhook + FAILED; POST /v1/connect/oauth/withdraw: retrieveToken() → enforceTransferLimits() → getWithdrawalFee() → DEPOSITS_PENDING webhook → initiateWithdrawal() → DEPOSITS_SUBMITTED webhook",Exchange OAuth flow with Jaro-Winkler identity matching,100%
In Progress,High,4/14/26,4/14/26,1,Coinbase OAuth Adapter,Backend Team,"buildAuthUrl() with scopes wallet:accounts:read/withdrawals:create/user:read; exchangeCode() → POST /oauth/token; getAccountProfile() → /v2/user; getDepositAddress() finds USDC account → primary_address; getWithdrawalFee() hardcoded $1.00; initiateWithdrawal() → POST /v2/accounts/:id/withdrawals; requires COINBASE_CLIENT_ID/SECRET/REDIRECT_URI; blocked on developer.coinbase.com approval",Coinbase OAuth adapter (pending approval),50%
In Progress,High,4/15/26,4/15/26,1,Binance OAuth Adapter,Backend Team,"buildAuthUrl() scopes: user:openId/user:name/user:withdraw; exchangeCode() form-encoded POST; getAccountProfile() → /v1/openapi/v1/user/info; getDepositAddress() → /sapi/v1/capital/deposit/address?coin=USDC&network=ETH; getWithdrawalFee() dynamic from /sapi/v1/capital/config/getall; initiateWithdrawal() → /sapi/v1/capital/withdraw/apply; NOTE: Binance returns null tx_hash immediately (async polling needed); blocked on binance.com/developers approval (4-6 week lead time)",Binance OAuth adapter (pending approval — critical blocker),40%
In Progress,Critical,4/16/26,4/17/26,2,Encrypted Token Vault,Backend Team,"storeToken(): currently Base64 encodes (NOT encrypted) to in-memory Map — UNSAFE for production; retrieveToken(): decode + expiry check → auto-refresh via adapter.exchangeCode(refresh_token); deleteToken() with optional retain flag for withdrawal flow; TODO: replace with AWS KMS encrypt/decrypt + persist encrypted blob to DB + key rotation + audit log",Token vault (KMS integration required before production),30%
,,,,,,,,,
,,,,,,,,,
SDK (React Native),,,,,,,,,
Week 1: Foundation & Wallet Connections,,,,,,,,,
Complete,Complete,3/20/26,3/20/26,1,SDK Project Setup & Dependencies,SDK Team,"React Native + TypeScript; dependencies: ethers.js, @solana/web3.js, @solana/spl-token, tweetnacl, bs58, axios; build config for React Native bundler",SDK scaffold with all crypto and network dependencies,100%
Complete,Complete,3/21/26,3/21/26,1,Config Module,SDK Team,"NETWORK_CONFIG: 4 networks (ETH/BASE/POLYGON/SOLANA) each with mainnet+testnet RPC URLs and token contract addresses (USDC/USDT/DAI); chain IDs (ETH:1, BASE:8453, POLY:137, SOL:null); token decimals (USDC 6, USDT 6, DAI 18); _activeEnvironment default mainnet; getTokensForChain() helper",Multi-chain config with mainnet and testnet support,100%
Complete,Complete,3/22/26,3/22/26,1,OrkiConnect Core Class,SDK Team,"OrkiConnect class constructor with SDKOptions (network, redirectScheme, appUrl, backendUrl, organizationId, depositAddress, bankBackendUrl, userId); internal state: _sessionId, _sessionJwt, _refreshToken, _connectedWallet; base HTTP helpers with Bearer auth injection",Core SDK class with typed configuration,100%
Complete,Complete,3/23/26,3/24/26,2,Phantom Wallet Integration,SDK Team,"connectPhantom(): generate x25519 keypair (nacl.box.keyPair); build Phantom universal link with dapp_encryption_public_key + nonce; open via Linking.openURL(); listen for app callback URL; extract nonce+data params; decrypt via nacl.box.open() shared secret; parse session response (phantom_encryption_public_key, data.public_key); persist keypair for subsequent signed requests",Phantom encrypted deep link connect with x25519 key exchange,100%
Complete,Complete,3/25/26,3/25/26,1,EVM Wallet Integration,SDK Team,"connectSimple(wallet): build deep link per wallet — MetaMask (metamask://), Trust (trust://), Coinbase (cbwallet://), Binance (bnc://); Linking.openURL() then listen for redirectScheme:// callback; parse public_key query param from callback; works for personal_sign and eth_sign flows",EVM wallet connection via deep links for 5 wallets,100%
Complete,Complete,3/26/26,3/26/26,1,Session & Reporting Methods,SDK Team,"initializeSession(network, token): POST /v1/connect/public/sessions → store _sessionId + _sessionJwt + _refreshToken; refreshSession(): POST /v1/connect/sessions/refresh with refresh_token; reportTransaction(txHash, amount, token, network): POST /v1/connect/sessions/:id/transactions with session JWT Bearer; all methods persist state to class instance",Backend session lifecycle methods in SDK,100%
,,,,,,,,,
Week 2: Transfers & Balance Queries,,,,,,,,,
Complete,High,3/28/26,3/29/26,2,Solana Token Transfer Flow,SDK Team,"transferToBank() Solana path: build SystemProgram.transfer or SPL token transfer instruction; serialize Transaction to base58; encode into Phantom encrypted SignAndSendTransaction deep link with dapp_encryption_public_key + nonce + payload; open link → listen for callback; decrypt response; extract signature (tx hash); return txHash for reportTransaction()",Solana USDC deposit via Phantom encrypted deep link,100%
Complete,High,3/30/26,3/30/26,1,EVM Transfer Flow,SDK Team,"transferEvm(recipient, amount, token): construct EIP-681 URI — ethereum:<contract>@<chainId>/transfer?address=<to>&uint256=<amount_in_wei>; Linking.openURL() to open wallet app; EVM deep links have no callback (no receipt); returns 'submitted' string as txHash sentinel; NOTE: no ethers.js transaction building — wallet handles signing entirely",EVM USDC deposit via EIP-681 URI deep link,100%
Complete,High,3/31/26,4/1/26,2,Balance API Module,SDK Team,"fetchBalances(networkId, address): parallel Promise.all across all tokens for network; getEvmBalance(rpcUrl, address, token): eth_call to token.balanceOf(address) ABI encode/decode; getSolanaBalance(address, token, rpcUrl): getTokenAccountsByOwner RPC → parse ui_amount; getTransactionAmount(txid, tokenMint): poll RPC until indexed → parse token transfer amount; all return 0 on network failure (graceful)",Multi-chain token balance fetching with RPC calls,100%
Complete,High,4/2/26,4/2/26,1,Token Query Methods,SDK Team,"getBalance(): Connection.getBalance() → lamports/1e9 SOL; getTokenBalance(mint): getTokenAccountsByOwner → uiAmountString; getTokenBalances(): fetchBalances() for all tokens in active environment; all methods use SOLANA_RPC_URL or network config RPC",Token balance API for SOL and SPL tokens,100%
Complete,High,4/3/26,4/3/26,1,Full Deposit Orchestration,SDK Team,"deposit(wallet, amount, bankAddress, token): 1) connect(wallet) 2) getTokenBalances() balance check 3) transferToBank(bankAddress, amount, token) 4) reportTransaction(txHash) 5) return txHash; single-method entry point for full deposit flow integrating all SDK components",End-to-end deposit method orchestrating connect → transfer → report,100%
,,,,,,,,,
Week 3: UI Modal,,,,,,,,,
Complete,High,4/4/26,4/5/26,2,OrkiConnectModal — Core Component,SDK Team,"React Native modal (2000+ LOC); props: visible, onClose, bankAddress, sdk, onSuccess, onError, hasAgreedBefore, onAgreementAccepted; phase state machine: wallet_select → asset_select → amount_entry → approval → confirmation; internal state: currentWallet, currentAsset, balance, loading, amount, agreed; SafeAreaView overlay with keyboard-aware container",Modal phase state machine with full prop interface,100%
Complete,High,4/6/26,4/6/26,1,Wallet & Asset Selection UI,SDK Team,"Wallet picker grid: 5 wallets (MetaMask 🦊, Phantom 👻, Coinbase 🔵, Trust 🛡️, Binance 🟡) with emoji icons and tap-to-select; Asset grid: SOL/ETH/USDC chains; balance display per asset; SDK.connect(wallet) called on selection → SDK.getTokenBalances() to populate balances; loading spinner during connect",Wallet and asset selection screens with live balances,100%
Complete,High,4/7/26,4/7/26,1,Amount Entry & Agreement UI,SDK Team,"Numeric amount TextInput with balance validation (amount ≤ balance guard); 'Powered by Orki' branding; terms agreement checkbox with onAgreementAccepted callback; hasAgreedBefore skips agreement prompt on re-entry; Confirm button disabled until amount > 0 and agreed = true",Amount input with validation and terms agreement flow,100%
Complete,High,4/8/26,4/9/26,2,Transfer Integration & Callbacks,SDK Team,"On confirm: 1) SDK.transferToBank(bankAddress, amount, token) — opens wallet deeplink 2) await return of txHash 3) SDK.reportTransaction(txHash) to backend 4) fire onSuccess(txHash) callback; error path: catches thrown errors → Alert.alert() + fires onError(err); loading = true during transfer, false on completion/error",Full deposit flow wired to SDK with success and error callbacks,100%
In Progress,Medium,4/10/26,4/10/26,1,Error Handling & UX Polish,SDK Team,"Alert.alert() on transfer/report errors; loading spinners with ActivityIndicator; error state display; Orki branding footer; TODO: transaction receipt screen, retry logic on failed transfer, QR fallback for wallet connect, keyboard dismissal on tap-outside, accessibility labels (a11y)",UX polish pass with error states and loading feedback,65%
,,,,,,,,,
Week 4: Bug Fixes & Production Hardening,,,,,,,,,
Not Started,High,4/11/26,4/11/26,1,Fix Duplicate Webhook Bug,Backend Team,"wallet-signature-verifier/service.ts lines 103 and 117 both dispatch CONNECTION_APPROVED webhook in verifyWalletOwnership(); second dispatch must be removed — org receives duplicate event per wallet connection",Duplicate webhook dispatch bug fixed,0%
